Date,QB,RB1,RB2,WR1,WR2,WR3,TE,UTIL,D,Total
2016-09-12,28.0,8.5,6.7,7.8,15.9,12.7,3.4,4.6,4.0,91.6
2016-09-12,4.2,38.1,6.7,11.4,14.6,3.3,3.5,13.4,8.0,103.2
2016-09-15,19.1,5.1,9.6,14.0,32.8,7.3,12.0,21.3,11.0,132.2
2016-09-15,12.6,8.8,18.3,12.5,7.6,3.1,9.3,6.8,7.0,86.0
2016-09-15,21.8,18.3,5.8,22.2,8.1,5.5,22.2,4.9,5.0,113.8
2016-09-15,33.8,21.3,3.5,5.5,5.2,13.1,3.1,7.3,6.0,98.8
2016-09-15,11.1,5.8,9.3,9.9,7.8,27.3,4.9,6.2,6.0,88.3
2016-09-15,24.1,23.2,15.1,15.2,6.9,14.5,20.3,11.4,7.0,137.7
2016-09-15,18.4,11.4,13.0,5.8,3.5,11.9,12.0,7.6,4.0,87.6
2016-09-15,33.8,9.6,6.1,6.5,14.8,5.8,10.1,8.4,15.0,110.1
2016-09-15,25.0,22.1,15.1,32.4,15.4,19.1,7.3,7.3,10.0,153.7
2016-09-15,12.4,3.7,3.6,4.5,14.0,6.9,9.7,7.9,15.0,77.7
2016-09-18,22.3,7.3,7.0,5.6,3.3,6.7,3.6,3.6,11.0,70.4
2016-09-18,8.1,13.5,24.0,5.2,24.6,3.7,10.6,12.1,7.0,108.8
2016-09-18,21.8,6.8,5.9,24.6,9.3,5.9,6.5,3.3,20.0,104.1
2016-09-18,4.9,21.3,3.6,4.5,9.9,3.1,9.7,2.4,5.0,64.4
2016-09-18,19.1,8.4,3.1,4.9,20.1,14.6,14.5,26.2,10.0,120.9
2016-09-18,22.6,6.2,17.1,3.5,7.6,3.6,12.0,14.6,4.0,91.2
2016-09-18,21.8,9.6,4.9,3.2,9.3,9.9,4.5,13.2,4.0,80.4
2016-09-18,11.1,21.3,6.2,8.4,14.6,18.8,6.4,3.8,10.0,100.6
2016-09-18,27.2,9.6,24.0,6.1,19.0,11.8,25.4,19.1,3.0,145.2
2016-09-18,11.1,11.8,2.9,9.9,20.2,4.5,7.1,17.4,11.0,95.9
2016-09-19,12.9,3.4,13.1,22.0,4.4,22.1,3.5,4.9,14.0,100.3
2016-09-19,16.1,5.9,9.9,5.8,8.2,22.0,3.8,20.6,18.0,110.3
2016-09-19,26.4,4.5,26.1,10.9,3.1,12.2,3.6,23.0,7.0,116.8
2016-09-19,26.4,7.9,11.5,12.6,13.3,9.7,8.6,7.4,3.0,100.4
2016-09-19,7.5,13.2,6.8,3.7,20.6,5.1,2.3,5.7,5.0,69.9
2016-09-19,17.4,5.9,10.8,4.3,7.4,10.2,4.1,13.0,4.0,77.1
2016-09-19,24.0,8.8,15.5,20.6,7.5,5.7,8.9,5.8,5.0,101.8
2016-09-19,14.9,24.4,29.5,10.0,10.7,14.1,2.8,21.4,9.0,136.8
2016-09-19,10.6,11.5,7.9,13.0,31.1,13.3,4.1,4.4,5.0,100.9
2016-09-19,19.0,6.8,9.1,5.1,4.3,8.0,2.3,13.2,14.0,81.8
2016-09-22,29.5,15.5,11.8,7.4,4.4,41.5,8.9,9.9,5.0,133.9
2016-09-22,14.9,4.1,34.7,10.9,29.6,13.0,4.5,4.4,3.0,119.1
2016-09-22,14.7,4.5,10.8,18.3,7.7,10.3,2.3,4.9,4.0,77.5
2016-09-22,19.3,8.8,4.5,7.2,10.7,3.1,12.4,4.9,9.0,79.9
2016-09-22,19.0,10.6,4.9,5.4,3.7,5.8,2.4,7.4,14.0,73.2
2016-09-22,19.0,2.9,8.4,22.1,5.1,3.9,11.9,6.1,19.0,98.4
2016-09-22,29.5,4.5,5.9,10.0,6.2,6.7,8.6,4.1,5.0,80.5
2016-09-22,5.4,24.4,5.9,22.0,10.7,31.1,2.3,4.5,4.0,110.3
2016-09-22,13.2,10.6,26.5,9.6,31.1,18.3,2.4,9.6,5.0,126.3
2016-09-22,14.7,14.7,5.1,9.7,12.2,31.1,4.4,9.4,9.0,110.3
2016-09-25,14.6,2.9,6.6,10.8,6.7,5.3,4.4,33.0,18.0,102.3
2016-09-25,24.0,2.9,20.7,7.9,32.2,5.3,5.8,3.4,4.0,106.2
2016-09-25,16.1,15.5,5.1,10.8,6.1,7.2,9.4,20.0,14.0,104.2
2016-09-25,24.0,26.5,6.6,5.3,10.5,12.6,4.4,10.9,11.0,111.8
2016-09-25,5.4,9.1,20.7,7.4,6.5,7.2,2.3,4.1,3.0,65.7
2016-09-25,8.6,6.6,7.9,7.4,7.4,10.2,3.0,4.5,14.0,69.6
2016-09-25,19.0,7.3,29.9,5.9,11.1,7.5,2.3,34.9,5.0,122.9
2016-09-25,16.1,6.8,29.9,13.0,12.0,10.9,3.0,13.0,7.0,111.7
2016-09-25,14.6,6.8,6.6,5.8,4.4,7.7,8.6,20.1,18.0,92.6
2016-09-25,7.5,4.9,29.6,4.0,14.4,18.3,2.3,3.3,4.0,88.3
2016-09-26,18.0,24.8,5.6,36.3,4.0,17.2,10.2,20.5,6.0,142.6
2016-09-26,13.9,3.0,18.2,20.9,9.8,6.8,11.7,5.3,4.0,93.6
2016-09-26,12.5,25.8,11.2,3.4,7.9,6.1,11.2,2.7,4.0,84.8
2016-09-26,13.1,9.7,22.8,6.3,10.2,12.0,11.2,5.8,7.0,98.1
2016-09-26,13.5,14.4,3.5,12.0,10.2,13.1,14.8,8.7,4.0,94.2
2016-09-26,6.7,34.7,6.3,10.9,6.8,13.7,12.7,6.2,8.0,106.0
2016-09-26,25.9,3.5,2.9,12.0,17.2,8.7,5.4,28.3,11.0,114.9
2016-09-26,34.9,25.8,2.5,28.0,3.4,3.5,3.6,11.7,5.0,118.4
2016-09-26,12.5,3.5,3.2,12.9,27.4,13.7,11.2,4.4,6.0,94.8
2016-09-26,18.7,11.6,2.5,4.3,15.8,6.2,18.9,3.5,3.0,84.5
2016-09-29,16.6,3.3,23.9,10.2,13.8,10.0,18.9,10.0,6.0,112.7
2016-09-29,9.1,3.5,25.8,9.8,33.8,5.8,9.5,9.1,6.0,112.4
2016-09-29,22.8,13.8,25.7,12.2,22.8,10.2,8.3,13.2,5.0,134.0
2016-09-29,13.5,3.0,24.8,15.9,10.2,12.8,3.7,11.5,6.0,101.4
2016-09-29,22.8,15.7,3.3,7.9,7.8,5.3,3.6,16.1,4.0,86.5
2016-09-29,22.8,23.9,3.6,4.1,7.9,22.4,11.7,4.0,6.0,106.4
2016-09-29,18.7,3.3,2.9,16.5,4.2,8.7,3.7,17.2,3.0,78.2
2016-09-29,25.9,22.8,9.8,6.8,8.7,3.4,3.6,4.4,3.0,88.4
2016-09-29,9.1,7.9,9.8,10.3,3.2,9.0,16.1,14.4,11.0,90.8
2016-09-29,9.4,18.5,3.1,12.6,4.1,7.9,2.9,25.8,11.0,95.3
2016-10-02,12.9,5.3,25.7,13.8,10.1,17.2,4.7,14.4,9.0,113.1
2016-10-02,22.8,25.8,11.6,9.6,15.0,18.9,4.9,3.7,5.0,117.3
2016-10-02,13.9,3.6,6.3,11.5,22.8,12.8,8.3,4.8,20.0,104.0
2016-10-02,18.7,14.4,10.0,9.0,3.3,6.2,3.0,4.3,3.0,71.9
2016-10-02,8.2,23.9,36.5,10.0,6.1,3.6,8.2,9.0,9.0,114.5
2016-10-02,13.1,11.6,14.9,6.8,21.4,5.3,2.7,8.4,5.0,89.2
2016-10-02,9.1,11.2,3.0,26.1,7.6,10.9,12.7,3.4,20.0,104.0
2016-10-02,18.1,4.8,2.4,3.5,4.5,13.7,4.7,4.9,7.0,63.6
2016-10-02,6.7,8.6,3.2,4.1,9.8,9.6,3.7,4.8,7.0,57.5
2016-10-02,8.5,22.8,2.5,15.8,12.6,27.2,9.5,4.9,3.0,106.8
2016-10-03,10.4,28.3,23.4,5.3,13.8,22.8,9.3,4.2,7.0,124.5
2016-10-03,15.0,28.3,5.2,12.5,10.3,36.1,4.7,21.7,6.0,139.8
2016-10-03,10.1,3.2,9.7,6.5,4.0,9.0,3.7,4.1,5.0,55.3
2016-10-03,13.3,8.5,8.9,7.2,9.0,7.5,2.8,13.8,9.0,80.0
2016-10-03,18.8,5.2,8.0,18.6,10.5,3.6,2.4,9.7,6.0,82.8
2016-10-03,32.2,24.4,12.9,3.3,4.2,13.8,17.0,16.4,6.0,130.2
2016-10-03,17.9,18.5,3.4,3.3,28.7,26.8,30.7,4.5,6.0,139.8
2016-10-03,6.5,13.5,9.4,9.0,28.8,3.1,8.3,12.6,4.0,95.2
2016-10-03,32.6,10.8,21.3,22.8,5.9,28.8,16.3,28.7,4.0,171.2
2016-10-03,5.6,24.4,3.9,5.9,16.6,12.0,12.8,3.9,5.0,90.1
2016-10-06,10.4,9.4,21.3,28.7,22.8,8.9,3.5,23.4,6.0,134.4
2016-10-06,15.0,9.2,2.7,11.3,4.6,25.7,14.3,4.4,4.0,91.2
2016-10-06,15.0,3.3,23.4,3.3,13.8,12.0,3.7,2.4,3.0,79.9
2016-10-06,10.4,2.8,12.9,22.8,3.4,13.7,12.6,6.5,9.0,94.1
2016-10-06,31.4,2.7,5.0,6.5,3.1,4.9,13.3,10.1,3.0,80.0
2016-10-06,17.5,28.3,10.2,5.9,13.3,29.3,12.9,3.3,7.0,127.7
2016-10-06,24.0,2.7,5.0,8.5,16.6,10.5,4.5,5.6,3.0,80.4
2016-10-06,18.8,23.4,6.4,5.3,28.8,3.3,8.7,15.3,4.0,114.0
2016-10-06,24.0,4.2,20.9,12.0,7.5,13.7,8.7,2.8,6.0,99.8
2016-10-06,13.4,20.5,10.9,3.1,9.0,8.8,9.3,19.1,3.0,97.1
2016-10-09,22.2,11.1,9.4,29.3,8.5,26.8,17.0,3.3,3.0,130.6
2016-10-09,22.2,11.1,8.0,12.7,8.9,10.3,3.6,28.4,5.0,110.2
2016-10-09,32.2,3.3,9.4,12.0,3.1,7.3,2.4,4.9,3.0,77.6
2016-10-09,11.1,10.9,20.5,8.0,14.6,22.8,2.8,3.7,4.0,98.4
2016-10-09,32.6,35.1,15.7,34.9,29.6,6.6,6.1,19.1,14.0,193.7
2016-10-09,6.5,11.1,2.7,6.5,15.0,12.5,2.4,20.3,3.0,80.0
2016-10-09,6.5,13.4,8.0,15.0,20.9,10.5,30.1,12.0,4.0,120.4
2016-10-09,13.3,11.1,2.8,25.7,13.7,26.8,12.8,28.3,4.0,138.5
2016-10-09,15.0,3.3,28.3,34.9,15.9,26.8,5.1,8.7,4.0,142.0
2016-10-09,32.6,9.4,21.3,5.8,3.1,14.6,2.4,5.7,4.0,98.9
2016-10-10,28.2,3.4,3.2,7.1,8.7,4.4,6.1,7.8,8.0,76.9
2016-10-10,10.8,13.4,4.3,12.4,6.1,20.0,20.3,3.5,6.0,96.8
2016-10-10,21.9,26.6,3.6,5.0,9.1,7.9,3.1,33.8,3.0,114.0
2016-10-10,29.0,3.6,5.2,7.8,9.5,3.4,3.9,7.1,6.0,75.5
2016-10-10,19.5,8.1,36.2,10.5,3.4,6.5,15.9,16.3,6.0,122.4
2016-10-10,7.4,20.5,35.8,5.4,11.5,9.3,9.4,9.4,12.0,120.7
2016-10-10,28.8,9.0,5.6,5.9,10.8,13.7,4.5,8.9,3.0,90.2
2016-10-10,29.1,6.4,5.0,18.4,33.8,9.1,5.1,13.7,6.0,126.6
2016-10-10,24.4,8.0,8.0,16.1,9.1,8.0,10.2,12.1,8.0,103.9
2016-10-10,33.5,7.5,3.6,10.3,25.9,3.3,3.5,3.6,3.0,94.2
2016-10-13,24.7,26.6,12.7,11.1,11.5,8.0,20.5,14.8,6.0,135.9
2016-10-13,11.9,8.0,9.7,9.1,3.2,10.4,8.5,22.4,8.0,91.2
