Date,W1,W2,W3,C1,C2,D1,D2,U,G,Total
2010-11-10,15.0,3.0,13.5,22.5,4.5,6.0,6.0,7.5,13.800000000000001,91.8
2010-11-11,6.0,12.0,7.5,13.5,6.0,6.0,4.5,12.0,8.3999999999999986,75.9
2010-11-11,4.5,10.5,7.5,3.0,9.0,6.0,6.0,12.0,22.199999999999999,80.7
2010-11-11,10.5,16.5,4.5,7.5,3.0,4.5,9.0,7.5,20.399999999999999,83.4
2010-11-11,6.0,3.0,16.5,7.5,12.0,13.5,9.0,4.5,20.399999999999999,92.4
2010-11-11,6.0,12.0,3.0,12.0,16.5,6.0,10.5,6.0,22.800000000000001,94.8
2010-11-11,16.5,13.5,19.5,24.0,16.5,7.5,6.0,4.5,25.199999999999999,133.2
2010-11-11,4.5,18.0,13.5,4.5,6.0,7.5,6.0,4.5,25.199999999999999,89.7
2010-11-11,24.0,3.0,10.5,7.5,6.0,10.5,7.5,10.5,22.199999999999999,101.7
2010-11-11,3.0,3.0,12.0,9.0,3.0,6.0,6.0,6.0,22.800000000000001,70.8
2010-11-11,3.0,3.0,16.5,7.5,7.5,21.0,7.5,9.0,19.199999999999999,94.2
2010-11-12,6.0,3.0,3.0,9.0,10.5,4.5,7.5,10.5,19.199999999999999,73.2
2010-11-12,10.5,12.0,12.0,6.0,34.5,6.0,6.0,6.0,9.0,102.0
2010-11-12,27.0,21.0,18.0,12.0,34.5,13.5,6.0,10.5,15.599999999999998,158.1
2010-11-12,13.5,10.5,15.0,7.5,6.0,10.5,4.5,15.0,15.0,97.5
2010-11-12,3.0,21.0,6.0,4.5,18.0,13.5,7.5,6.0,19.199999999999999,98.7
2010-11-12,7.5,15.0,12.0,6.0,7.5,7.5,4.5,15.0,15.0,90.0
2010-11-12,9.0,10.5,3.0,7.5,7.5,6.0,7.5,6.0,15.599999999999998,72.6
2010-11-12,10.5,10.5,9.0,9.0,7.5,9.0,6.0,12.0,19.199999999999999,92.7
2010-11-12,10.5,12.0,3.0,4.5,10.5,10.5,13.5,7.5,22.800000000000001,94.8
2010-11-12,10.5,10.5,12.0,18.0,6.0,6.0,6.0,10.5,9.0,88.5
2010-11-13,4.5,3.0,12.0,28.5,3.0,15.0,9.0,6.0,18.600000000000001,99.6
2010-11-13,4.5,4.5,4.5,3.0,3.0,4.5,6.0,15.0,17.399999999999999,62.4
2010-11-13,9.0,12.0,6.0,25.5,12.0,4.5,3.0,15.0,16.799999999999994,103.8
2010-11-13,3.0,4.5,3.0,25.5,19.5,12.0,7.5,22.5,23.399999999999999,120.9
2010-11-13,19.5,21.0,10.5,28.5,4.5,16.5,3.0,3.0,21.600000000000001,128.1
2010-11-13,4.5,4.5,21.0,4.5,3.0,9.0,6.0,6.0,9.0,67.5
2010-11-13,7.5,19.5,9.0,4.5,15.0,13.5,3.0,6.0,12.599999999999998,90.6
2010-11-13,10.5,3.0,10.5,3.0,4.5,4.5,9.0,3.0,19.800000000000001,67.8
2010-11-13,7.5,3.0,13.5,22.5,4.5,7.5,4.5,9.0,21.600000000000001,93.6
2010-11-13,6.0,4.5,16.5,19.5,12.0,15.0,13.5,4.5,23.399999999999999,114.9
2010-11-15,3.0,13.5,22.5,10.5,18.0,6.0,3.0,33.0,9.5999999999999979,119.1
2010-11-15,7.5,6.0,4.5,4.5,13.5,3.0,6.0,13.5,31.800000000000001,90.3
2010-11-15,4.5,12.0,13.5,10.5,18.0,18.0,10.5,18.0,31.800000000000001,136.8
2010-11-15,9.0,16.5,3.0,10.5,13.5,10.5,3.0,7.5,16.199999999999999,89.7
2010-11-15,16.5,3.0,6.0,13.5,24.0,7.5,12.0,6.0,9.0,97.5
2010-11-15,13.5,3.0,4.5,10.5,15.0,7.5,4.5,10.5,25.199999999999999,94.2
2010-11-15,25.5,4.5,3.0,3.0,25.5,3.0,3.0,9.0,25.199999999999999,101.7
2010-11-15,9.0,18.0,21.0,13.5,10.5,6.0,7.5,18.0,21.600000000000001,125.1
2010-11-15,4.5,3.0,22.5,9.0,18.0,7.5,4.5,3.0,16.199999999999999,88.2
2010-11-15,18.0,3.0,4.5,10.5,4.5,9.0,33.0,24.0,19.199999999999999,125.7
2010-11-17,9.0,3.0,3.0,6.0,7.5,10.5,19.5,9.0,13.199999999999999,80.7
2010-11-17,13.5,9.0,6.0,4.5,3.0,6.0,3.0,6.0,23.399999999999999,74.4
2010-11-17,13.5,9.0,16.5,30.0,4.5,6.0,9.0,4.5,22.199999999999999,115.2
2010-11-17,15.0,3.0,21.0,3.0,9.0,3.0,9.0,4.5,25.800000000000001,93.3
2010-11-17,13.5,12.0,10.5,9.0,4.5,3.0,12.0,4.5,22.199999999999999,91.2
2010-11-17,4.5,4.5,12.0,39.0,12.0,3.0,10.5,10.5,10.800000000000001,106.8
2010-11-17,3.0,15.0,12.0,10.5,9.0,6.0,9.0,6.0,21.600000000000001,92.1
2010-11-17,12.0,9.0,6.0,27.0,3.0,3.0,6.0,9.0,13.199999999999999,88.2
2010-11-17,13.5,10.5,10.5,9.0,3.0,19.5,3.0,3.0,10.800000000000001,82.8
2010-11-17,3.0,13.5,9.0,3.0,12.0,12.0,9.0,3.0,19.800000000000001,84.3
2010-11-19,10.5,7.5,3.0,12.0,13.5,16.5,12.0,13.5,15.0,103.5
2010-11-19,9.0,16.5,19.5,9.0,7.5,7.5,6.0,13.5,13.799999999999995,102.3
2010-11-19,13.5,3.0,3.0,9.0,15.0,9.0,4.5,3.0,24.599999999999994,84.6
2010-11-19,7.5,24.0,15.0,9.0,3.0,9.0,4.5,21.0,16.199999999999999,109.2
2010-11-19,9.0,6.0,13.5,15.0,15.0,3.0,7.5,3.0,14.4,86.4
2010-11-19,3.0,4.5,13.5,9.0,13.5,13.5,4.5,7.5,21.600000000000001,90.6
2010-11-19,9.0,10.5,4.5,4.5,15.0,13.5,6.0,7.5,23.399999999999999,93.9
2010-11-19,3.0,15.0,13.5,4.5,7.5,3.0,3.0,4.5,21.600000000000001,75.6
2010-11-19,21.0,3.0,4.5,7.5,19.5,4.5,3.0,19.5,32.399999999999999,114.9
2010-11-19,10.5,3.0,3.0,12.0,15.0,9.0,6.0,6.0,32.399999999999999,96.9
2010-11-20,9.0,4.5,9.0,3.0,9.0,12.0,3.0,3.0,22.800000000000001,75.3
2010-11-20,16.5,9.0,6.0,9.0,4.5,6.0,10.5,3.0,15.6,80.1
2010-11-20,7.5,3.0,9.0,21.0,4.5,10.5,12.0,10.5,36.0,114.0
2010-11-20,12.0,7.5,12.0,13.5,6.0,3.0,3.0,18.0,18.600000000000001,93.6
2010-11-20,13.5,16.5,4.5,3.0,4.5,9.0,4.5,4.5,15.6,75.6
2010-11-20,4.5,6.0,4.5,4.5,15.0,4.5,4.5,21.0,33.0,97.5
2010-11-20,3.0,16.5,3.0,15.0,12.0,9.0,4.5,7.5,23.399999999999999,93.9
2010-11-20,7.5,12.0,3.0,12.0,3.0,9.0,10.5,13.5,22.199999999999999,92.7
2010-11-20,9.0,16.5,12.0,4.5,6.0,7.5,10.5,3.0,29.399999999999999,98.4
2010-11-20,12.0,9.0,3.0,10.5,9.0,7.5,3.0,6.0,22.199999999999999,82.2
2010-11-22,15.0,6.0,15.0,13.5,4.5,3.0,4.5,15.0,19.199999999999999,95.7
2010-11-22,3.0,3.0,3.0,24.0,4.5,6.0,4.5,13.5,24.600000000000001,86.1
2010-11-22,6.0,6.0,9.0,7.5,6.0,4.5,4.5,4.5,20.399999999999999,68.4
2010-11-22,7.5,7.5,25.5,22.5,4.5,3.0,10.5,16.5,10.800000000000001,108.3
2010-11-22,4.5,15.0,4.5,15.0,6.0,12.0,6.0,21.0,24.600000000000001,108.6
2010-11-22,18.0,25.5,7.5,7.5,12.0,3.0,4.5,12.0,16.199999999999999,106.2
