Date,QB1,QB2,RB1,RB2,WR1,WR2,WR3,TE,UTIL,Total
2014-10-04,20.1,15.4,22.6,7.1,18.1,4.8,13.5,3.0,5.3,109.9
2014-10-04,13.5,10.1,18.0,2.0,18.2,11.8,8.4,9.0,19.2,110.2
2014-10-04,11.8,14.7,9.9,8.3,6.8,20.3,6.6,2.1,3.1,83.6
2014-10-04,29.1,7.2,26.3,4.5,10.2,3.5,51.2,5.0,10.5,147.5
2014-10-04,32.6,36.9,4.0,4.7,4.8,3.9,18.2,4.5,6.3,115.9
2014-10-04,20.7,36.5,15.0,17.2,5.0,8.2,4.9,2.5,3.1,113.1
2014-10-11,7.4,6.0,21.8,48.3,8.8,12.5,5.1,6.1,5.3,121.3
2014-10-11,10.0,22.5,4.0,10.0,14.1,19.3,7.8,13.8,2.3,103.8
2014-10-11,28.4,28.6,17.2,12.7,34.3,4.0,7.8,9.8,9.5,152.3
2014-10-11,19.5,14.7,28.6,13.8,7.5,12.0,6.0,4.9,3.9,110.9
2014-10-11,32.0,30.4,29.0,2.7,9.6,14.4,10.6,11.0,10.8,150.5
2014-10-11,20.6,15.2,19.4,27.1,14.8,8.9,10.8,8.3,9.7,134.8
2014-10-11,10.3,27.4,10.8,8.8,12.6,9.9,3.4,19.4,10.0,112.6
2014-10-11,4.9,5.8,7.9,8.1,16.8,3.6,6.3,9.1,15.5,78.0
2014-10-11,13.7,32.1,26.0,22.7,14.0,6.3,4.0,11.4,5.1,135.3
2014-10-11,9.4,15.2,24.4,2.2,19.6,37.2,12.6,23.7,5.0,149.3
2014-10-18,12.2,13.7,9.2,2.5,23.8,4.1,18.3,3.1,12.9,99.8
2014-10-18,38.6,10.7,22.4,23.9,4.8,3.9,9.3,9.5,24.1,147.2
2014-10-18,15.5,24.4,7.1,7.2,5.8,4.7,11.4,3.4,6.0,85.5
2014-10-18,5.2,10.2,15.3,11.1,2.9,4.4,23.8,7.3,2.5,82.7
2014-10-18,8.6,21.1,7.5,16.4,6.0,18.0,7.6,14.0,14.0,113.2
2014-10-18,22.4,28.1,2.5,12.8,10.8,6.6,3.5,20.5,2.5,109.7
2014-10-18,22.0,20.5,7.5,8.5,36.2,6.7,4.0,15.4,25.8,146.6
2014-10-18,13.5,11.8,24.1,27.8,20.6,19.0,5.9,7.5,21.0,151.2
2014-10-18,29.0,24.2,2.8,4.4,4.8,8.1,25.2,3.7,5.8,108.0
2014-10-18,8.2,19.2,5.1,6.8,6.4,7.8,7.2,6.4,4.4,71.5
