Date,P,C,1B,2B,SS,3B,OF1,OF2,OF3,Total
2013-09-12,19.0,33.5,5.0,5.5,3.0,6.0,8.0,11.0,20.5,111.5
2013-09-12,26.5,11.5,9.0,8.5,9.0,6.0,20.5,9.0,15.0,115.0
2013-09-12,48.0,11.5,8.5,8.0,12.0,5.5,9.0,7.5,27.0,137.0
2013-09-13,4.5,8.5,9.0,15.5,12.0,6.0,5.5,20.5,6.0,87.5
2013-09-13,4.0,20.0,5.5,4.5,26.5,31.0,27.0,15.0,9.0,142.5
2013-09-13,39.5,42.0,19.0,9.0,13.5,26.5,30.0,4.5,24.0,208.0
2013-09-13,4.5,29.0,20.5,30.0,18.0,8.5,6.0,5.5,9.0,131.0
2013-09-13,19.5,9.0,20.5,8.5,9.0,8.5,21.0,11.5,9.0,116.5
2013-09-13,4.0,6.0,29.0,11.5,6.0,6.0,9.0,24.0,5.5,101.0
2013-09-13,17.0,6.0,5.5,9.0,6.0,6.0,29.5,5.0,6.0,90.0
2013-09-13,13.0,42.0,8.5,12.0,18.0,6.0,11.5,17.5,14.5,143.0
2013-09-13,6.0,30.0,27.0,9.0,6.0,11.5,16.0,29.5,11.0,146.0
2013-09-13,10.0,30.0,11.5,8.5,18.0,17.5,9.0,5.5,5.5,115.5
2013-09-14,26.0,8.5,5.5,32.5,5.5,6.0,5.5,9.0,8.5,107.0
2013-09-14,24.0,3.0,18.0,13.5,6.0,11.0,5.5,10.0,8.5,99.5
2013-09-14,14.0,17.5,12.0,13.5,6.0,29.5,24.0,24.0,12.0,152.5
2013-09-14,5.0,21.0,8.5,12.0,5.5,12.0,6.0,29.5,5.0,104.5
2013-09-14,9.0,3.0,9.0,9.0,6.0,9.0,6.0,20.5,15.0,86.5
2013-09-14,4.0,8.5,24.0,11.0,9.0,9.0,8.5,11.5,29.5,115.0
2013-09-14,4.0,5.5,11.5,13.5,6.0,6.0,12.0,21.0,8.5,88.0
2013-09-14,4.5,8.5,5.5,23.5,13.5,6.0,8.5,10.0,9.0,89.0
2013-09-14,41.0,8.0,8.5,32.5,23.0,33.0,9.0,6.0,8.5,169.5
2013-09-14,26.0,5.5,30.0,13.5,18.0,6.0,8.5,26.5,6.0,140.0
2013-09-15,56.0,5.5,45.0,8.5,6.0,25.0,8.5,21.0,12.0,187.5
2013-09-15,6.0,3.0,14.5,6.0,3.0,29.5,6.0,5.5,5.5,79.0
2013-09-15,6.0,3.0,5.0,18.0,6.0,25.0,6.0,5.5,14.5,89.0
2013-09-15,5.5,44.0,5.5,8.5,6.0,5.0,6.0,6.0,6.0,92.5
2013-09-15,12.5,30.0,5.5,5.0,5.5,5.5,26.5,6.0,12.0,108.5
2013-09-15,5.0,13.0,20.5,5.5,6.0,29.5,24.0,17.5,8.5,129.5
2013-09-15,14.0,21.0,24.0,6.0,24.0,26.5,14.5,6.0,5.5,141.5
2013-09-15,20.5,44.0,12.0,8.5,6.0,25.0,12.0,6.0,9.0,143.0
2013-09-15,16.5,9.0,14.5,6.0,21.0,8.5,6.0,4.5,37.5,123.5
2013-09-15,31.0,6.0,26.0,5.5,6.0,11.5,24.0,36.0,9.0,155.0
2013-09-16,11.0,6.0,9.0,14.5,8.5,20.5,17.0,21.0,6.0,113.5
2013-09-16,34.5,5.0,6.0,8.5,11.5,9.0,11.5,28.5,36.0,150.5
2013-09-16,12.5,3.0,12.0,12.0,6.0,9.0,12.0,5.5,6.0,78.0
2013-09-16,11.5,6.0,24.0,14.5,16.0,6.0,21.0,11.5,14.5,125.0
2013-09-16,5.5,5.5,6.0,12.0,14.0,20.5,8.5,5.5,17.0,94.5
2013-09-16,10.0,5.5,9.0,4.5,14.0,11.5,12.0,10.0,11.5,88.0
2013-09-16,9.0,12.0,35.5,5.5,15.0,6.0,21.0,6.0,6.0,116.0
2013-09-16,11.5,30.0,12.0,6.0,12.0,9.0,12.0,14.5,8.0,115.0
2013-09-16,48.5,5.5,9.0,14.5,11.5,6.0,17.0,12.0,11.5,135.5
2013-09-16,8.0,5.0,11.5,12.0,45.0,6.0,8.5,6.0,28.5,130.5
2013-09-17,45.0,6.0,11.5,11.5,20.5,14.5,11.0,18.0,23.0,161.0
2013-09-17,4.5,6.0,14.0,19.5,11.5,8.5,8.5,24.0,30.0,126.5
2013-09-17,4.5,5.5,12.0,18.0,13.5,8.5,39.0,15.0,13.5,129.5
2013-09-17,4.0,5.5,9.0,6.0,15.0,7.5,45.0,8.5,27.0,127.5
2013-09-17,30.5,6.0,12.0,6.0,15.0,9.0,7.5,6.0,4.5,96.5
2013-09-17,5.5,27.0,11.5,35.5,9.0,9.0,20.5,5.5,13.5,137.0
2013-09-17,6.0,9.0,15.0,23.0,6.0,6.0,25.0,10.5,26.5,127.0
2013-09-17,27.0,5.5,5.5,8.5,20.5,5.0,11.5,6.0,19.5,109.0
2013-09-17,5.0,17.5,14.0,21.0,6.0,23.0,8.5,15.0,25.0,135.0
2013-09-17,6.5,13.0,24.0,9.0,6.0,5.0,11.0,8.5,4.5,87.5
2013-09-18,11.5,20.5,11.5,12.0,12.0,8.5,7.0,21.0,11.5,115.5
2013-09-18,5.5,5.5,9.0,20.5,22.5,6.0,12.0,10.0,40.0,131.0
2013-09-18,8.5,5.5,12.0,20.5,13.5,8.5,13.5,24.0,21.0,127.0
2013-09-18,10.5,3.0,5.5,9.0,5.5,12.0,8.5,6.0,16.5,76.5
2013-09-18,28.5,3.0,5.5,9.0,8.0,9.0,5.5,15.0,16.5,100.0
2013-09-18,11.5,20.5,8.0,6.0,22.5,9.0,6.0,8.5,15.0,107.0
2013-09-18,20.5,6.0,11.5,12.0,8.0,12.0,21.0,5.5,9.0,105.5
2013-09-18,6.0,9.0,5.5,8.5,9.0,8.5,8.0,6.0,24.0,84.5
2013-09-18,19.0,3.0,5.5,5.5,8.5,6.0,21.0,18.0,7.0,93.5
2013-09-18,10.5,12.0,11.5,8.5,6.0,6.0,40.0,15.0,5.5,115.0
2013-09-19,59.5,23.0,6.0,9.0,27.0,12.0,12.0,12.0,5.5,166.0
2013-09-19,5.5,5.5,11.5,12.0,9.0,12.0,20.5,5.0,22.5,103.5
2013-09-19,9.0,9.0,14.5,36.0,33.0,8.5,12.0,5.5,21.0,148.5
2013-09-19,13.5,8.5,9.0,22.5,5.0,12.0,5.5,5.5,8.5,90.0
2013-09-19,5.0,7.5,6.0,8.5,6.0,23.5,9.0,8.0,8.5,82.0
2013-09-19,15.0,9.0,26.5,9.0,5.5,11.5,5.0,5.0,11.5,98.0
2013-09-19,55.0,5.5,11.5,5.0,27.0,23.5,5.0,11.5,12.0,156.0
2013-09-19,3.5,5.5,29.5,9.0,18.0,9.0,20.5,6.0,15.0,116.0
2013-09-19,5.5,3.0,14.5,12.0,5.5,12.0,23.5,26.0,5.5,107.5
2013-09-19,23.0,8.5,6.0,22.5,9.0,11.5,12.0,21.0,5.5,119.0
2013-09-20,6.0,5.5,6.0,6.0,10.0,8.5,6.0,23.5,6.0,77.5
2013-09-20,15.0,6.0,20.5,12.0,11.0,6.0,15.0,29.5,8.5,123.5
2013-09-20,5.0,9.0,17.5,7.0,12.0,8.5,23.5,15.0,9.0,106.5
2013-09-20,4.0,6.0,5.5,18.0,30.0,5.0,32.5,14.5,13.5,129.0
2013-09-20,29.5,9.0,17.5,6.0,9.0,5.5,6.0,8.5,23.0,114.0
2013-09-20,5.5,21.0,33.0,12.0,5.5,10.0,26.5,5.5,8.5,127.5
2013-09-20,9.0,8.5,9.0,12.0,9.0,12.5,6.0,9.0,22.0,97.0
2013-09-20,6.0,8.5,5.0,20.5,6.0,8.5,20.5,23.0,6.0,104.0
2013-09-20,16.0,12.5,15.5,26.5,12.0,33.0,5.5,9.0,8.0,138.0
2013-09-20,32.5,6.0,9.0,21.0,6.0,8.5,23.0,9.0,6.0,121.0
2013-09-21,61.0,12.0,9.0,15.0,21.0,5.0,30.0,6.0,20.5,179.5
2013-09-21,34.5,6.0,21.0,8.5,6.0,9.0,17.5,30.0,7.5,140.0
2013-09-21,11.0,15.0,6.0,5.0,11.0,6.0,11.5,8.5,11.5,85.5
2013-09-21,9.0,5.0,5.5,10.5,9.0,5.5,8.5,18.0,21.0,92.0
2013-09-21,6.0,5.0,5.5,8.5,11.0,8.5,12.0,6.0,12.0,74.5
2013-09-21,33.0,24.0,5.0,15.0,21.0,6.0,8.5,9.0,11.5,133.0
2013-09-21,10.5,3.0,5.5,15.0,5.5,8.0,7.5,8.5,11.5,75.0
2013-09-21,9.0,3.0,27.0,15.0,11.0,9.0,6.0,23.5,26.5,130.0
2013-09-21,9.0,9.0,29.5,6.0,5.5,8.0,23.5,21.0,6.0,117.5
2013-09-21,33.0,12.0,29.5,9.0,5.5,18.0,20.5,18.0,11.5,157.0
2013-09-22,13.5,8.5,29.5,20.5,24.0,5.5,5.5,15.0,20.5,142.5
